abjure retract
abstruse esoteric
abstruse recondite
acme apex
acme pinnacle
acme summit
adamant inexorable
adamant intransigent
advocate proponent
affable amiable
affable genial
affluent flush
ambiguous ambivalent
ambiguous equivocal
ambiguous evasive
ambivalent equivocal
amenable tractable
amiable genial
antiquated archaic
apathy indifference
aphorism apothegm
apotheosis paragon
appease assuage
appease conciliate
appease mollify
appease placate
appease propitiate
arbitrary capricious
arbitrary whimsical
arcane esoteric
arrant thoroughgoing
arrogate ascribe
artful byzantine
artful disingenuous
artful elusive
artful evasive
artless candid
artless guileless
artless ingenuous
ascribe impute
assuage conciliate
assuage mollify
assuage placate
audacious brazen
audacious insolent
audacious intrepid
audacity temerity
auspicious propitious
austere spartan
autocratic dictatorial
autocratic magisterial
autocratic peremptory
avarice cupidity
banal hackneyed
banal trite
banality bromide
banality platitude
banish ostracize
banish relegate
base ignoble
becoming decorous
belittle denigrate
bellicose contentious
benign genial
besiege circumvent
besmirch denigrate
blatant conspicuous
blatant vociferous
bowdlerize expurgate
brazen insolent
broadside tirade
bromide platitude
browbeat hector
bucolic pastoral
bucolic provincial
bucolic rustic
bumbling maladroit
byzantine convoluted
byzantine involved
byzantine tortuous
candid forthright
candid ingenuous
capricious whimsical
castigate chastise
castigate objurgate
cede concede
chastise objurgate
chauvinism jingoism
chauvinist jingoist
choleric irascible
circumvent elude
circumvent hedge
coalesce conflate
cogent telling
colossal prodigious
commendable laudable
commensurate coterminous
complaisant obliging
conciliate mollify
conciliate placate
conciliate reconcile
conspicuous egregious
conspicuous ostentatious
convoluted involved
convoluted tortuous
cornucopia profusion
cosmopolitan urbane
countermand rescind
cryptic esoteric
cryptic inscrutable
crystallize elucidate
cumbersome infelicitous
dearth paucity
decorous staid
decry excoriate
decry objurgate
degrade demean
diligent industrious
diligent sedulous
disinterested impartial
dispassionate impartial
docile tractable
dog hound
dolorous lachrymose
economical frugal
economical thrifty
effervescent scintillating
efficacious telling
efficacious trenchant
elaborate expound
elude hedge
elusive evasive
embroiled involved
endemic indigenous
enervate unnerve
ephemeral transient
ephemeral transitory
epigram quip
equitable evenhanded
equivocal evasive
equivocate prevaricate
erratic fickle
erratic mercurial
esoteric recondite
ethereal gossamer
exacerbate exasperate
exacting fastidious
exasperate incense
excoriate objurgate
exorbitant unconscionable
fastidious meticulous
fawn grovel
fawn kowtow
fecund prolific
fickle mercurial
flippant frivolous
foible idiosyncrasy
foolhardy rash
fractious nettlesome
fractious peevish
fractious petulant
fractious refractory
frugal thrifty
frustrate thwart
furtive surreptitious
gaffe solecism
gambit ploy
grandiloquent portentous
hackneyed trite
haphazard slapdash
haughty supercilious
humdrum prosaic
illustrious redoubtable
immaterial impertinent
impecunious penurious
impertinent impudent
implacable inexorable
impregnable inviolable
impregnable unassailable
improvident imprudent
improvident prodigal
imprudent rash
impudent insolent
incontrovertible irrefutable
indecorous unseemly
indecorous untoward
inexorable intransigent
inkling intimation
innocuous insipid
insidious pernicious
insipid jejune
intermittent sporadic
invective vitriol
inviolable inviolate
inviolable unassailable
involved tortuous
itinerant peripatetic
jejune puerile
lambast rebuke
lambast remonstrate
languid lethargic
languish pine
limpid lucid
limpid pellucid
lucid pellucid
magisterial peremptory
malleable tractable
malodorous noisome
maudlin mawkish
maudlin sentimental
maunder palaver
mawkish sentimental
meticulous punctilious
miscreant reprobate
mollify placate
morose saturnine
morose sullen
mundane quotidian
munificent unstinting
nettlesome peevish
nettlesome petulant
obdurate obstinate
parochial provincial
parsimonious penurious
pastoral rustic
pedestrian prosaic
peevish petulant
perspicacious sagacious
pinnacle summit
pithy sententious
portentous prodigious
prodigal unstinting
profligate spendthrift
provident thrifty
provincial rustic
raffish rakish
ravenous voracious
rebuke remonstrate
reproach upbraid
reticent taciturn
robust stalwart
saturnine sullen
snide supercilious
specious spurious
staunch steadfast
telling telltale
transient transitory
unseemly untoward
